Name,A_site,B_site,X_site,Spacegroup,Ehull,BulkModulus,Energy,ZPE,s_A,s_B,s_X
AlBiO3,Al,Bi,O,R3c,0.053,125,-98.75141314,30.4940185,1.17,0.535,1.35
BaHfO3,Ba,Hf,O,Pm-3m,0,103,-46.34564817,19.3823906,1.61,0.71,1.35
BaLiF3,Ba,Li,F,Pm-3m,0.015,69,-26.98803518,20.3287001,1.61,0.76,1.285
BaLiH3,Ba,Li,H,Pm-3m,0,38,-16.5037107,47.721477,1.61,0.76,1.3
BaSeO3,Ba,Se,O,P21/m,0,68.91,-31.84915,25.75,1.61,0.5,1.35
BaTiO3,Ba,Ti,O,R3m,0,97,-39.6502036566667,27.5639139666667,1.61,0.605,1.35
CaCO3,Ca,C,O,R3c,0,76,-37.45715,45.79,1.34,0.16,1.35
CaSnO3,Ca,Sn,O,R-3,0,107.43,-32.05347304,29.2927990166667,1.34,0.69,1.35
CaTcN3,Ca,Tc,N,C2/m,0,104.42,-39.2972579875,35.32471825,1.34,0.56,1.46
CaWN3,Ca,W,N,C2/m,0,115.45,-43.11079985,34.99597655,1.34,0.6,1.46
CdSnO3,Cd,Sn,O,R-3,0,116.32,-26.6884678666667,27.5672268166667,1.31,0.69,1.35
CsAuBr3,Cs,Au,Br,I4/mmm ,0,16,-13.55807017,6.83728895,1.88,1.11,1.96
CsAuCl3,Cs,Au,Cl,I4/mmm ,0,27.35,-14.92026889,9.974861275,1.88,1.11,1.81
CsAuI3,Cs,Au,I,I4/mmm ,0,17.36,-12.29230354,5.247777075,1.88,1.11,2.2
CsAuSe3,Cs,Au,Se,C2/c,0,27.88,-17.11735,8.8,1.88,1.11,1.98
CsBeH3,Cs,Be,H,P21/m,0,18.92,-15.31705,54.18,1.88,0.16,1.3
CsBiO3,Cs,Bi,O,Pm-3m,0.033,59,-24.3815032,15.7748079,1.88,0.895,1.35
CsBrO3,Cs,Br,O,R3m,0,38.4,-20.6227,23.87,1.88,0.39,1.35
CsCaF3,Cs,Ca,F,Pm-3m,0,117,-25.86329092,15.6856663,1.88,1.34,1.285
CsCaH3,Cs,Ca,H,Pm-3m,0.012,27.56,-14.88916527,40.7533565,1.88,1.34,1.3
CsCdCl3,Cs,Cd,Cl,Pm-3m,0.007,35,-14.50250323,8.5345507,1.88,1.31,1.81
CsCdF3,Cs,Cd,F,Pm-3m,0,30,-19.72050076,14.0750994,1.88,1.31,1.285
CsGeCl3,Cs,Ge,Cl,R3m,0,26.89,-17.6725205466667,8.93198143333333,1.88,0.73,1.81
CsIO3,Cs,I,O,Pmn21,0,44.22,-22.07845,22.5,1.88,0.95,1.35
CsMgBr3,Cs,Mg,Br,P63/mmc ,0,11,-15.63809073,9.0333859,1.88,0.72,1.96
CsMgCl3,Cs,Mg,Cl,P63/mmc ,0,13,-17.728475325,12.58451505,1.88,0.72,1.81
CsPbF3,Cs,Pb,F,R3c,0,50,-22.655302695,10.3726391333333,1.88,1.19,1.285
CsReO3,Cs,Re,O,Pm-3m,0,193.6,-34.87900128,26.5228052,1.88,0.58,1.35
CsSbO3,Cs,Sb,O,Pm-3m,0.326,80.19,-25.85824747,20.1085789,1.88,0.6,1.35
CsSnS3,Cs,Sn,S,P-1,0,28.84,-20.8314,13.97,1.88,0.69,1.84
CsSrBr3,Cs,Sr,Br,Cmcm,0.005,20.31,-17.5827226175,6.638043325,1.88,1.18,1.96
CsWO3,Cs,W,O,Pm-3m,0,188.05,-37.73560849,26.5950365,1.88,0.62,1.35
InBO3,In,B,O,R-3c,0,139,-34.4053353733333,45.3790963166667,0.92,0.27,1.35
InGaO3,In,Ga,O,P63/mmc ,0.002,170,-29.07773023,31.4388998,0.92,0.62,1.35
KCaBr3,K,Ca,Br,Cmcm,0,26.95,-17.682527,8.68189005,1.64,1.34,1.96
KMgF3,K,Mg,F,Pm-3m,0,64,-24.70479278,21.9558147,1.64,0.72,1.285
KMgH3,K,Mg,H,Pm-3m,0,35,-14.00270921,50.8166236,1.64,0.72,1.3
KNbO3,K,Nb,O,R3m,0,103,-38.90244676,28.3858273,1.64,0.64,1.35
KSbO3,K,Sb,O,R-3,0,66.05,-28.211342355,29.1439907833333,1.64,0.6,1.35
KTaO3,K,Ta,O,Pm-3m,0,188,-41.13018931,27.07,1.64,0.64,1.35
KZnF3,K,Zn,F,Pm-3m,0,69,-20.83597697,17.4065927,1.64,0.74,1.285
LaAlO3,La,Al,O,R-3c,0,181,-40.0378233416667,31.7946775166667,1.36,0.535,1.35
LaCoN3,La,Co,N,C2/m,0,124.88,-39.7818179875,36.182134925,1.36,0.53,1.46
LaCrO3,La,Cr,O,Pnma,0,165,-43.0499391025,28.0701563,1.36,0.615,1.35
LaScO3,La,Sc,O,Pnma,0,154,-43.71778287,26.87242305,1.36,0.745,1.35
LiAsO3,Li,As,O,R-3,0,108.57,-29.28657745,36.9297267,0.92,0.46,1.35
LiNbO3,Li,Nb,O,R3c,0,102,-40.008017925,31.4168959833333,0.92,0.64,1.35
LiSbO3,Li,Sb,O,C2/m,0.001,93.7,-29.4086919225,34.399048325,0.92,0.6,1.35
LiTaO3,Li,Ta,O,R3c,0,123,-42.1770270316667,31.5961015166667,0.92,0.64,1.35
MgCO3,Mg,C,O,R3c,0,105,-35.85445,50.56,0.89,0.16,1.35
MgSiO3,Mg,Si,O,Cmcm,0.007,139,-34.6242051375,41.2670353,0.89,0.4,1.35
MgTiO3,Mg,Ti,O,R-3,0,163,-38.6664293166667,34.6857921,0.89,0.605,1.35
NaBiO3,Na,Bi,O,R-3,0,58,-25.9749191216667,25.9516082833333,1.39,0.76,1.35
NaCdF3,Na,Cd,F,R3c,0,63.59,-19.6248906233333,18.49596025,1.39,0.95,1.285
NaCoF3,Na,Co,F,Cmcm,0.185,83.24,-24.416418585,19.730801075,1.39,0.745,1.285
NaMgF3,Na,Mg,F,Cmcm,0.031,84.84,-24.493192605,23.936965025,1.39,0.72,1.285
NaMnF3,Na,Mn,F,Pnma,0,60,-28.4210274775,18.600862725,1.39,0.83,1.285
NaNbO3,Na,Nb,O,R3c,0.011,103,-39.1699018083333,28.5442921666667,1.39,0.64,1.35
NaSbO3,Na,Sb,O,R-3,0,83.26,-28.5889134133333,30.8809408,1.39,0.6,1.35
RbAuBr3,Rb,Au,Br,C2/m,0,23.56,-13.43333321,7.1844583,1.72,1.11,1.96
RbAuI3,Rb,Au,I,C2/m,0,17.74,-12.16398785,5.622316375,1.72,1.11,2.2
RbBiO3,Rb,Bi,O,Pm-3m,0,70.77,-24.8492195,17.3132009,1.72,0.895,1.35
RbBrO3,Rb,Br,O,R3m,0,15,-20.665,24.44,1.72,0.39,1.35
RbCaH3,Rb,Ca,H,Pm-3m,0.018,26.9,-14.93211294,40.5487446,1.72,1,1.3
RbIO3,Rb,I,O,R3m,0,47.5,-22.1497,22.6,1.72,0.95,1.35
RbMgF3,Rb,Mg,F,Pm-3m,0.022,65,-24.37495322,20.6696547,1.72,0.72,1.285
RbPbBr3,Rb,Pb,Br,Cmcm,0,22.36,-15.93976673,5.8380683,1.72,1.19,1.96
RbPbCl3,Rb,Pb,Cl,Cmcm,0,27.83,-17.605368365,8.173055875,1.72,1.19,1.81
RbReO3,Rb,Re,O,Pm-3m,0.147,175,-35.97745546,29.0647247,1.72,0.58,1.35
RbSbO3,Rb,Sb,O,Pm-3m,0.097,89,-26.83141869,23.5574754,1.72,0.6,1.35
RbWO3,Rb,W,O,Pm-3m,0.156,175,-38.81364282,29.1606002,1.72,0.62,1.35
ReTlO3,Re,Tl,O,Pm-3m,0,207.49,-35.49951765,25.9260651,1.7,0.58,1.35
ScBO3,Sc,B,O,R-3c,0,161,-42.8633234833333,46.0813441,0.745,0.27,1.35
SrWN3,Sr,W,N,C2/m,0.003,102,-42.812151285,32.684244875,1.44,0.6,1.46
TiCdO3,Ti,Cd,O,R-3,0,150,-34.4196155333333,28.92860965,0.74,0.95,1.35
TiPbO3,Ti,Pb,O,P4mm,0,63,-38.044,26.1,0.74,1.19,1.35
TlCrO3,Tl,Cr,O,Pnma,0,66,-32.94955093,26.39191275,1.7,0.49,1.35
TlIO3,Tl,I,O,R3m,0,57.27,-21.4612,22.06,1.7,0.95,1.35
YVO3,Y,V,O,Pnma,0,177.47,-44.866734715,28.618223025,1.075,0.64,1.35
YWN3,Y,W,N,Pmc21,0.039,181.17,-49.1965,33.42,1.075,0.62,1.46
