Name,Coeff_A
AlBiO3,6.1928778126442e-08
BaHfO3,6.96472097141732e-08
BaLiF3,8.86102821880866e-08
BaLiH3,3.40320196282651e-08
BaSeO3,8.04943789499828e-08
BaTiO3,7.03035871699635e-08
CaCO3,5.11022610090223e-08
CaSnO3,6.40306211178584e-08
CaTcN3,5.67447135276132e-08
CaWN3,5.96433360374641e-08
CdSnO3,6.96157068249e-08
CsAuBr3,1.31725774260261e-07
CsAuCl3,1.21581784886538e-07
CsAuI3,1.36767297350243e-07
CsAuSe3,1.20926531433987e-07
CsBeH3,5.67201955916718e-08
CsBiO3,1.03150689260008e-07
CsBrO3,8.89432730478193e-08
CsCaF3,1.03248239333397e-07
CsCaH3,5.3171181051643e-08
CsCdCl3,1.2661736020088e-07
CsCdF3,1.08670340480365e-07
CsGeCl3,1.24099211310317e-07
CsIO3,9.06840476505188e-08
CsMgBr3,1.24745932574764e-07
CsMgCl3,1.12937347911454e-07
CsPbF3,1.14556028674901e-07
CsReO3,7.06058010903843e-08
CsSbO3,8.88828543220692e-08
CsSnS3,1.07653121571967e-07
CsSrBr3,1.32945360348804e-07
CsWO3,7.08489430407725e-08
InBO3,4.43249197763384e-08
InGaO3,5.94313267657905e-08
KCaBr3,1.26198921547645e-07
KMgF3,8.38011395421438e-08
KMgH3,3.66520221851852e-08
KNbO3,6.84621490768082e-08
KSbO3,6.53675873352092e-08
KTaO3,5.92772658241238e-08
KZnF3,9.79839599843718e-08
LaAlO3,5.87606306986609e-08
LaCoN3,6.66175234801514e-08
LaCrO3,6.73072450545356e-08
LaScO3,7.05937165732025e-08
LiAsO3,4.46713554043745e-08
LiNbO3,5.66365897109149e-08
LiSbO3,5.04066536736226e-08
LiTaO3,5.90900343867015e-08
MgCO3,3.9509390502145e-08
MgSiO3,3.63271942706267e-08
MgTiO3,5.0848505266217e-08
NaBiO3,7.27227545510157e-08
NaCdF3,9.37259555531543e-08
NaCoF3,8.97048263201155e-08
NaMgF3,7.7135432393253e-08
NaMnF3,9.35018208037061e-08
NaNbO3,6.55162995240048e-08
NaSbO3,6.1053052070031e-08
RbAuBr3,1.30637707537444e-07
RbAuI3,1.35678831804716e-07
RbBiO3,9.96997255592241e-08
RbBrO3,8.73545372446485e-08
RbCaH3,5.73160952314567e-08
RbIO3,8.97568617460348e-08
RbMgF3,8.70294955696452e-08
RbPbBr3,1.35615984669588e-07
RbPbCl3,1.27846125166763e-07
RbReO3,6.51415454651216e-08
RbSbO3,8.06379934232657e-08
RbWO3,6.48675291626049e-08
ReTlO3,7.40122035827452e-08
ScBO3,4.03804114191208e-08
SrWN3,6.36399269711194e-08
TiCdO3,6.61867860400526e-08
TiPbO3,7.5028862816059e-08
TlCrO3,7.14007206577176e-08
TlIO3,9.18423500069739e-08
YVO3,6.48691027138969e-08
YWN3,5.97285312024693e-08
