Name,prediction,unscaled_prediction
AlBiO3,0.6364619749152496,-0.00021309512344396366
BaHfO3,0.575980066398202,-0.0002164842097842191
BaLiF3,-0.2955362444204326,-0.0002653193754845995
BaLiH3,1.7091339733619648,-0.00015298825666932127
BaSeO3,0.0338102435499934,-0.00024686453979969264
BaTiO3,0.33039862699195055,-0.0002302452950759871
CaCO3,1.2031592296022708,-0.00018134040584310104
CaSnO3,0.5241332736739821,-0.0002193894298957535
CaTcN3,0.8435660744758522,-0.0002014901048187014
CaWN3,0.7791242347540788,-0.0002051010847645547
CdSnO3,0.36364624725710115,-0.00022838227424133763
CsAuBr3,-1.8045903940531502,-0.00034987879053322555
CsAuCl3,-1.4756891296728725,-0.0003314489028240809
CsAuI3,-1.9678524969303055,-0.00035902713548974084
CsAuSe3,-1.360876344783179,-0.0003250154014598395
CsBeH3,1.1119789684407806,-0.0001864496655404241
CsBiO3,-0.7865780717673942,-0.00029283476298409605
CsBrO3,-0.30848313096828406,-0.00026604485054687854
CsCaF3,-0.8153731921989475,-0.0002944482892717641
CsCaH3,0.9596580436285294,-0.00019498492473236535
CsCdCl3,-1.6350485203298746,-0.00034037856042433423
CsCdF3,-1.0479298835934685,-0.00030747953655652896
CsGeCl3,-1.4825813205819287,-0.0003318351047584615
CsIO3,-0.3823901429414889,-0.0002701862086962644
CsMgBr3,-1.5546704865519558,-0.0003358746004301393
CsMgCl3,-1.1814540224311258,-0.0003149615232551056
CsPbF3,-1.1821448868113151,-0.0003150002356418552
CsReO3,0.29064343389683245,-0.0002324729658816282
CsSbO3,-0.32212723374506425,-0.0002668093939199236
CsSnS3,-1.0088774988670508,-0.00030529124741559687
CsSrBr3,-1.846140987928429,-0.0003522070661049615
CsWO3,0.28996255268285154,-0.00023251111886453198
InBO3,1.3595182081779598,-0.00017257887547046408
InGaO3,0.6734863833610518,-0.00021102047137037144
KCaBr3,-1.5860339292139685,-0.0003376320419149637
KMgF3,-0.20163637204986173,-0.000260057723155736
KMgH3,1.6464396696811292,-0.00015650131393596915
KNbO3,0.42691440437295114,-0.0002248370612625834
KSbO3,0.475338275272037,-0.00022212364359058438
KTaO3,0.919422392151688,-0.00019723951788517578
KZnF3,-0.5545108157660223,-0.00027983094107075264
LaAlO3,0.7004735376492448,-0.0002095082539453095
LaCoN3,0.5619023977207718,-0.00021727304789774976
LaCrO3,0.4251460976895345,-0.00022493614781876343
LaScO3,0.30035514547331843,-0.0002319287729179572
LiAsO3,1.2519032895706204,-0.00017860904646873932
LiNbO3,0.867331244213986,-0.00020015843037078513
LiSbO3,0.9976027270465408,-0.0001928587053155119
LiTaO3,0.7917629746418555,-0.00020439287661170463
MgCO3,1.589561814487567,-0.0001596884481852992
MgSiO3,1.516044538561971,-0.00016380796758740275
MgTiO3,1.0296329978055923,-0.00019106389831014784
NaBiO3,0.23289777543175205,-0.00023570872723756986
NaCdF3,-0.5117181973531615,-0.00027743306901144234
NaCoF3,-0.3866321237184991,-0.0002704239068684862
NaMgF3,0.015210388743895464,-0.000247906777311697
NaMnF3,-0.45292271572955656,-0.0002741384811168964
NaNbO3,0.5917516296613599,-0.00021560045477499057
NaSbO3,0.629310595987917,-0.00021349584890436777
RbAuBr3,-1.7366861262904791,-0.00034607379442840437
RbAuI3,-1.9211706620376106,-0.000356411332304094
RbBiO3,-0.60141466876631,-0.0002824591849771733
RbBrO3,-0.15777774695862945,-0.0002576001177189435
RbCaH3,1.032382236879144,-0.0001909098454897471
RbIO3,-0.30328583623204963,-0.00026575362163184043
RbMgF3,-0.3584618622803788,-0.00026884539437471385
RbPbBr3,-1.936090657539964,-0.00035724736995888204
RbPbCl3,-1.665248174326095,-0.0003420707893461478
RbReO3,0.5459149004350365,-0.000218168902707799
RbSbO3,-0.07361936308798533,-0.00025288432689508775
RbWO3,0.5272630919107684,-0.00021921405143145148
ReTlO3,0.18561030479634866,-0.0002383584670477894
ScBO3,1.4647742418626066,-0.00016668088391006948
SrWN3,0.6082055870590253,-0.00021467846200679187
TiCdO3,0.49044998525243955,-0.0002212768632701841
TiPbO3,0.16696194284641308,-0.00023940342264364085
TlCrO3,0.2945151942522415,-0.0002322560129042009
TlIO3,-0.3722326282672981,-0.0002696170352842921
YVO3,0.5473088493443186,-0.00021809079318177224
YWN3,0.7613206385890976,-0.00020609870415272524
