Name,Coeff_C
AlBiO3,0.0094357528617152
BaHfO3,-0.006524142891547
BaLiF3,-7.60757052712079e-05
BaLiH3,0.0059686873854796
BaSeO3,-0.0153103792468295
BaTiO3,0.0093011501973094
CaCO3,0.0041692133521234
CaSnO3,0.0154934923401559
CaTcN3,0.0136722728395266
CaWN3,0.0085645518174736
CdSnO3,0.0063758444965377
CsAuBr3,-0.105128644981886
CsAuCl3,-0.080451322052625
CsAuI3,-0.131876531059582
CsAuSe3,-0.074830067682806
CsBeH3,-0.0214042046787456
CsBiO3,-0.01319817476537
CsBrO3,-0.0415721810553794
CsCaF3,-0.0199560360319315
CsCaH3,-0.0086065540177012
CsCdCl3,-0.0666733676026977
CsCdF3,-0.0268010310182152
CsGeCl3,-0.0820297526754917
CsIO3,-0.0368292550524323
CsMgBr3,-0.0728141514490931
CsMgCl3,-0.0431420811083142
CsPbF3,-0.0541600280572614
CsReO3,0.0127422039950498
CsSbO3,0.0054812521884868
CsSnS3,-0.0435536324611538
CsSrBr3,-0.0857862844729647
CsWO3,0.011517864223501
InBO3,0.0117321074705576
InGaO3,0.0136659473357065
KCaBr3,-0.0597282528807539
KMgF3,0.007469095551424
KMgH3,0.0082916857346252
KNbO3,0.012797744225303
KSbO3,0.0073302293483252
KTaO3,0.0059078412157728
KZnF3,-0.0071739722897604
LaAlO3,0.0152270187631997
LaCoN3,-0.0002805777962087
LaCrO3,0.0132821214366024
LaScO3,0.0109156848109494
LiAsO3,0.0204638544212991
LiNbO3,0.0176497132368932
LiSbO3,0.0175860754516541
LiTaO3,0.0145950384715826
MgCO3,0.0156941846704113
MgSiO3,0.0231877966893063
MgTiO3,0.0225317194965461
NaBiO3,0.0048929111769476
NaCdF3,-0.0014428485521414
NaCoF3,0.0045910534911852
NaMgF3,0.0160441899431824
NaMnF3,-0.0030013808083902
NaNbO3,0.0119163171389488
NaSbO3,0.0119821702506016
RbAuBr3,-0.0998120240888639
RbAuI3,-0.122676058838022
RbBiO3,-0.0138283372884081
RbBrO3,-0.0322977538175904
RbCaH3,-0.0082497884577175
RbIO3,-0.0320821466757422
RbMgF3,0.0055234193555579
RbPbBr3,-0.0961337223132951
RbPbCl3,-0.0665684630269555
RbReO3,0.0142647599414638
RbSbO3,0.008528191147674
RbWO3,0.0141331185288161
ReTlO3,0.0022395205802556
ScBO3,0.0169534309328114
SrWN3,0.0032738975691179
TiCdO3,0.0088265735198229
TiPbO3,-0.0017620037512988
TlCrO3,0.0077548620403108
TlIO3,-0.0447152536876522
YVO3,0.016973646463804
YWN3,0.0074612945844283
