Name,Coeff_D
AlBiO3,30.537225700488
BaHfO3,20.1627956331904
BaLiF3,21.074258360022
BaLiH3,47.66802811053
BaSeO3,26.7136531256227
BaTiO3,27.7612621771696
CaCO3,46.8724619695516
CaSnO3,29.1848560114839
CaTcN3,35.2375574361437
CaWN3,35.1350856017433
CdSnO3,27.8348314393238
CsAuBr3,10.873272885075
CsAuCl3,13.2487222445131
CsAuI3,9.86846903365288
CsAuSe3,11.8054719726941
CsBeH3,56.6434708653527
CsBiO3,17.2009328124922
CsBrO3,25.6293056950199
CsCaF3,17.2547510048386
CsCaH3,41.3590499056883
CsCdCl3,11.7619195762204
CsCdF3,15.9538235995976
CsGeCl3,12.2863039305967
CsIO3,24.6124823881404
CsMgBr3,12.2636722194416
CsMgCl3,14.8455416830874
CsPbF3,13.0346292415228
CsReO3,26.5958630884366
CsSbO3,20.6971165533867
CsSnS3,16.4363728708248
CsSrBr3,10.4395171825598
CsWO3,26.715686395793
InBO3,45.2801900107047
InGaO3,31.3300452072331
KCaBr3,11.7608105402195
KMgF3,22.4156360486236
KMgH3,50.8020443171692
KNbO3,28.4708105895912
KSbO3,29.3472081850829
KTaO3,19.4733877458115
KZnF3,18.5529453638311
LaAlO3,31.6428662356705
LaCoN3,36.6942620063263
LaCrO3,28.08165122635
LaScO3,27.0026902910612
LiAsO3,36.3980006660099
LiNbO3,31.1584588560371
LiSbO3,34.0345316998514
LiTaO3,31.4619197982873
MgCO3,50.8764311824427
MgSiO3,40.5614143113091
MgTiO3,34.1705599358688
NaBiO3,26.2829399497208
NaCdF3,19.3501682644218
NaCoF3,20.3470213978715
NaMgF3,23.9970598429806
NaMnF3,19.4975137600353
NaNbO3,28.6313585350269
NaSbO3,30.8614375963326
RbAuBr3,11.0763008467857
RbAuI3,10.0522522619581
RbBiO3,18.7307195557255
RbBrO3,25.9627473843867
RbCaH3,41.2189144566355
RbIO3,24.6729546732876
RbMgF3,21.2176887926348
RbPbBr3,9.93530864028419
RbPbCl3,11.4212682120076
RbReO3,29.0342340001772
RbSbO3,23.954972374457
RbWO3,29.1276934712796
ReTlO3,26.3705584814523
ScBO3,45.7357231795258
SrWN3,33.0520223888456
TiCdO3,29.0724431139432
TiPbO3,26.9643145807369
TlCrO3,26.6088060195382
TlIO3,24.0013656623184
YVO3,28.4659383076556
YWN3,32.9844579025113
