Name,Coeff_B
AlBiO3,-0.000213915222955
BaHfO3,-0.0002131546220749
BaLiF3,-0.0002678070815081
BaLiH3,-0.0001512774317481
BaSeO3,-0.0002477576638211
BaTiO3,-0.0002306447784972
CaCO3,-0.0001819952750107
CaSnO3,-0.0002186827969409
CaTcN3,-0.0002012866351753
CaWN3,-0.000206011883972
CdSnO3,-0.0002291251386985
CsAuBr3,-0.000349375605618
CsAuCl3,-0.0003302028311545
CsAuI3,-0.0003586840520839
CsAuSe3,-0.0003259731979521
CsBeH3,-0.000187223984683
CsBiO3,-0.0002958525133932
CsBrO3,-0.0002636043342879
CsCaF3,-0.000295925363118
CsCaH3,-0.0001897042162597
CsCdCl3,-0.0003401189290096
CsCdF3,-0.0003062235130586
CsGeCl3,-0.0003346441787098
CsIO3,-0.0002676013993201
CsMgBr3,-0.0003364937340496
CsMgCl3,-0.0003143947516214
CsPbF3,-0.0003132468101862
CsReO3,-0.0002322971151049
CsSbO3,-0.000268697384544
CsSnS3,-0.0003039081459303
CsSrBr3,-0.0003518872921977
CsWO3,-0.0002325812036357
InBO3,-0.0001718871317085
InGaO3,-0.0002089864201563
KCaBr3,-0.0003394558715174
KMgF3,-0.0002584887957134
KMgH3,-0.0001539361285742
KNbO3,-0.0002262145013705
KSbO3,-0.0002191600557351
KTaO3,-0.0001867263430695
KZnF3,-0.0002859269678531
LaAlO3,-0.0002075853715768
LaCoN3,-0.0002175400442312
LaCrO3,-0.0002253488590616
LaScO3,-0.0002319000092868
LiAsO3,-0.0001780859635715
LiNbO3,-0.0002006645182205
LiSbO3,-0.0001897653453976
LiTaO3,-0.0002067964460622
MgCO3,-0.0001599404615234
MgSiO3,-0.0001614213806647
MgTiO3,-0.0001919752471971
NaBiO3,-0.0002349964725049
NaCdF3,-0.0002780464521608
NaCoF3,-0.0002703759691789
NaMgF3,-0.0002458616070297
NaMnF3,-0.0002774739110777
NaNbO3,-0.000217966561013
NaSbO3,-0.0002112057953757
RbAuBr3,-0.0003473853563401
RbAuI3,-0.000356719516091
RbBiO3,-0.0002885456697631
RbBrO3,-0.000260832051323
RbCaH3,-0.0001973252902776
RbIO3,-0.0002660734703242
RbMgF3,-0.0002650728851306
RbPbBr3,-0.0003567846365089
RbPbCl3,-0.0003425125649413
RbReO3,-0.0002207881646423
RbSbO3,-0.0002517217216274
RbWO3,-0.0002202385531724
ReTlO3,-0.0002381640678513
ScBO3,-0.0001646601973549
SrWN3,-0.0002142082624403
TiCdO3,-0.0002218779222471
TiPbO3,-0.0002393747386512
TlCrO3,-0.0002335879756608
TlIO3,-0.0002700986524425
YVO3,-0.0002209012071713
YWN3,-0.0002058223443438
